月,生産量
201301,110.3
201302,128.3
201303,117.2
201304,138.7
201305,130
201306,90.6
201307,89.7
201308,33.1
201309,13.2
201310,12.1
201311,25.7
201312,95.1
201401,111.2
201402,133.4
201403,125.1
201404,152.9
201405,121.8
201406,89.6
201407,60.1
201408,22
201409,11.9
201410,13.3
201411,24.8
201412,86.9
201501,162.2
201502,130.4
201503,140.3
201504,165.3
201505,138.3
201506,134.6
201507,83.6
201508,44.2
201509,20.1
201510,18.3
201511,44.4
201512,118.3
201601,173.7
201602,173.6
201603,218.8
201604,192.2
201605,152.2
201606,125.1
201607,99.9
201608,41.5
201609,28.6
201610,31
201611,59
201612,114.1
201701,188.3
201702,209.3
201703,207.9
201704,201.5
201705,146.8
201706,131.3
201707,93.8
201708,70.6
201709,56.9
201710,40.9
201711,68.9
201712,151
201801,204.1
201802,240
201803,264.8
201804,221.3
201805,230.9
201806,201.5
201807,142.4
201808,81.2
201809,59.3
201810,113.4
201811,170
201812,198.2
201901,271.7
201902,285.4
201903,300.3
201904,239.6
201905,218.6
201906,141.9
201907,114.8
201908,68.2
201909,90
201910,174.5
201911,219
201912,222.4
202001,197.2
202002,226
202003,213.4
202004,127.4
202005,94
202006,94.5
202007,103.3
202008,90.8
202009,89
202010,73
202011,121.2
202012,126.8
202101,95.4
202102,108
202103,97.7
202104,113.9
202105,91.9
202106,101.5
202107,92
202108,78
202109,67.9
202110,117.5
202111,127.2
202112,164.5
202201,169.2
202202,164.7
202203,193.6
202204,132.6
202205,90.9
202206,107.4
202207,105.6
202208,67.2
202209,74.2
202210,71.6
202211,95.2
202212,127.7
202301,141.5
202302,164.9
202303,156.9
202304,131.6
